Question No.,Name,Title Link,Basic Idea
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,"1. Sort by frequency, O(nlogn) and O(n). <br> 2. we can build a min heaq (based on frequency), then pop min until there are k element, O(klgn) and O(n)"
367,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square,[Integer square root](https://en.wikipedia.org/wiki/Integer_square_root#Using_only_integer_division)<br>1. 1+3+…+(2n-1) = n^2<br>2. Binary search<br>3. Newton's method
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/,"Sort and generate x subset with previous results, O(n^2) and O(n^2)"
383,Ransom Note,https://leetcode.com/problems/ransom-note/,"Get letter frequency (table or hash map) of magazine, then check randomNote frequency"
384,Shuffle an Array,https://leetcode.com/problems/shuffle-an-array/,"[Fisher–Yates shuffle](https://en.wikipedia.org/wiki/Fisher%E2%80%93Yates_shuffle), O(n) and O(n)"
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,"Get frequency of each letter, return first letter with frequency 1, O(n) and O(1) "
388,Longest Absolute File Path,https://leetcode.com/problems/longest-absolute-file-path/,"Store last length and rindex, O(n) and O(n)"
389,Find the Difference,https://leetcode.com/problems/find-the-difference/,"1. Imaging letter a as 0, then the sum(t)-sum(s) is the result<br> 2. Based on solution 1, bit manipulate"
400,Nth Digit,https://leetcode.com/problems/nth-digit/,islands * 4 - overlaps * 2 
401,Binary Watch,https://leetcode.com/problems/binary-watch/,Note that 12 * 60 is much less than 2^n or n^2.
404,Sum of Left Leaves,https://leetcode.com/problems/sum-of-left-leaves/,1. Recursively DFS with root.left.left and root.left.right check<br>2. The same DFS based on stack
405,Convert a Number to Hexadecimal,https://leetcode.com/problems/convert-a-number-to-hexadecimal/,"[Two's complement](https://en.wikipedia.org/wiki/Two%27s_complement) 1. Bit manipulate, each time handle 4 digits<br>2. Python (hex) and Java API (toHexString & Integer.toHexString)"
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/description/,"Length of Palindrome is always 2n or 2n + 1. So, get all possible 2*n, and choose a single one as 1 if it exists."
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/,"1. From 1 to n, condition check<br>2. Condition check and string connect"
414,Third Maximum Number,https://leetcode.com/problems/third-maximum-number/,"1. Keep max 1-3 then compare, O(n) and O(1)<br>2. PriorityQueue, O(n) and O(1)"
415,Add Strings,https://leetcode.com/problems/add-strings/,"Two points, careful abour carry, O(n) and O(n)"
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,"DP, Check if sum of some elements can be half of total sum, O(total_sum / 2 * n) and O(total_sum / 2)"
421,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,"Check 0~32 prefix, check if there is x y in prefixes, where x ^ y = answer ^ 1, O(32n) and O(n)"
434,Number of Segments in a String,https://leetcode.com/problems/number-of-segments-in-a-string/description/,1. trim &split<br>2. Find segment in place
438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Build a char count list with 26-256 length. Note that this list can be update when going through the string. O(n) and O(1)
441,Arranging Coins,https://leetcode.com/problems/arranging-coins/,O(n) time.
443,String Compression,https://leetcode.com/problems/string-compression/description/,"Maintain curr, read, write and anchor (start of this char)."
453,Number of Segments in a String,https://leetcode.com/problems/minimum-moves-to-equal-array-elements/description/,"Each move is equal to minus one element in array, so the answer is the sum of all elements after minus min."
458,Poor Pigs,https://leetcode.com/problems/poor-pigs/,[2 pigs for 5 * 5 metric](https://leetcode.com/problems/poor-pigs/discuss/94266/Another-explanation-and-solution)
461,Hamming Distance,https://leetcode.com/problems/hamming-distance/,"Hamming Distance is related to XOR for numbers. So, XOR then count 1. O(n)"
463,Island Perimeter,https://leetcode.com/problems/island-perimeter/,"math, find the area, actual number, then find the digit"
475,Heaters,https://leetcode.com/problems/heaters/,"1. Binary search hourse in heater array, O(nlogn) and O(1)<br> 2. Two points, O(nlogn) and O(1)"
479,Largest Palindrome Product,https://leetcode.com/problems/largest-palindrome-product/,"1. Product max palindrome than check, O(n^2) and O(1)<br>2. [Math](https://leetcode.com/problems/largest-palindrome-product/discuss/96305/Python-Solution-Using-Math-In-48ms)"
482,License Key Formatting,https://leetcode.com/problems/license-key-formatting/,"String processing, lower and len % K, O(n) and O(n)"
485,Max Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/,"Add one when encounter 1, set to 0 when encounter 0, O(n) and O(1)"
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,"1. Recursive, O(n) <br>2. DP with memo, O(n). Note that N<=30, which means that we can keep a memo from 0 to 30."
523,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum/description/,O(n) solution using dict()
538,Convert BST to Greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree/description/,Right first DFS with a variable recording sum of node.val and right.val. 1. Recursive.<br>2. Stack 3. Reverse Morris In-order Traversal
541,Reverse String II,https://leetcode.com/problems/reverse-string-ii/solution/,"Handle each 2k until reaching end, On(n) and O(n)"
